[2025-08-11 07:09:33,380] INFO in alerts: Start scheduled alert evaluation...
[2025-08-11 07:09:34,180] INFO in alerts: Prices has successfully fetched from external API
[2025-08-11 07:09:34,188] INFO in alerts: Evaluation completed
[2025-08-11 07:12:00,037] INFO in alerts: Start scheduled alert evaluation...
[2025-08-11 07:12:00,589] INFO in alerts: Prices has successfully fetched from external API
[2025-08-11 07:12:00,602] INFO in alerts: Evaluation completed
[2025-08-11 07:23:41,449] INFO in alerts: Start scheduled alert evaluation...
[2025-08-11 07:23:42,097] INFO in alerts: Prices has successfully fetched from external API
[2025-08-11 07:23:42,108] INFO in alerts: Evaluation completed
[2025-08-11 07:24:00,005] INFO in alerts: Start scheduled alert evaluation...
[2025-08-11 07:24:00,595] INFO in alerts: Prices has successfully fetched from external API
[2025-08-11 07:24:00,597] INFO in alerts: Evaluation completed
[2025-08-11 07:35:00,034] INFO in alerts: Start scheduled alert evaluation...
[2025-08-11 07:35:00,697] INFO in alerts: Prices has successfully fetched from external API
[2025-08-11 07:35:00,711] INFO in alerts: Evaluation completed
[2025-08-11 07:38:00,030] INFO in alerts: Start scheduled alert evaluation...
[2025-08-11 07:38:00,704] INFO in alerts: Prices has successfully fetched from external API
[2025-08-11 07:38:00,720] INFO in alerts: Evaluation completed
[2025-08-11 07:40:00,007] INFO in alerts: Start scheduled alert evaluation...
[2025-08-11 07:40:00,627] INFO in alerts: Prices has successfully fetched from external API
[2025-08-11 07:40:00,630] INFO in alerts: Evaluation completed
[2025-08-11 07:42:00,006] INFO in alerts: Start scheduled alert evaluation...
[2025-08-11 07:42:00,645] INFO in alerts: Prices has successfully fetched from external API
[2025-08-11 07:42:00,649] INFO in alerts: Evaluation completed
[2025-08-11 07:44:00,007] INFO in alerts: Start scheduled alert evaluation...
[2025-08-11 07:44:00,638] INFO in alerts: Prices has successfully fetched from external API
[2025-08-11 07:44:00,643] INFO in alerts: Evaluation completed
[2025-08-11 07:46:00,007] INFO in alerts: Start scheduled alert evaluation...
[2025-08-11 07:46:00,577] INFO in alerts: Prices has successfully fetched from external API
[2025-08-11 07:46:00,584] INFO in alerts: Evaluation completed
[2025-08-11 07:56:05,822] INFO in alerts: Start scheduled alert evaluation...
[2025-08-11 07:56:06,539] INFO in alerts: Prices has successfully fetched from external API
[2025-08-11 07:56:06,540] WARNING in alerts: threshold alert conditions not satisfied yet for {MSFT:1}
[2025-08-11 07:56:06,541] WARNING in alerts: duration alert conditions not satisfied yet for {AAPL:2}
[2025-08-11 07:56:06,546] INFO in alerts: Evaluation completed
[2025-08-11 07:56:06,556] INFO in alerts: Start scheduled alert evaluation...
[2025-08-11 07:56:07,084] INFO in alerts: Prices has successfully fetched from external API
[2025-08-11 07:56:07,086] WARNING in alerts: threshold alert conditions not satisfied yet for {MSFT:1}
[2025-08-11 07:56:07,086] WARNING in alerts: duration alert conditions not satisfied yet for {AAPL:2}
[2025-08-11 07:56:07,089] INFO in alerts: Evaluation completed
[2025-08-11 07:56:07,096] INFO in alerts: Start scheduled alert evaluation...
[2025-08-11 07:56:07,638] INFO in alerts: Prices has successfully fetched from external API
[2025-08-11 07:56:07,639] WARNING in alerts: threshold alert conditions not satisfied yet for {MSFT:1}
[2025-08-11 07:56:07,640] WARNING in alerts: duration alert conditions not satisfied yet for {AAPL:2}
[2025-08-11 07:56:07,641] INFO in alerts: Evaluation completed
[2025-08-11 07:56:07,648] INFO in alerts: Start scheduled alert evaluation...
[2025-08-11 07:56:08,165] INFO in alerts: Prices has successfully fetched from external API
[2025-08-11 07:56:08,166] WARNING in alerts: threshold alert conditions not satisfied yet for {MSFT:1}
[2025-08-11 07:56:08,166] WARNING in alerts: duration alert conditions not satisfied yet for {AAPL:2}
[2025-08-11 07:56:08,168] INFO in alerts: Evaluation completed
[2025-08-11 07:56:08,199] INFO in alerts: Start scheduled alert evaluation...
[2025-08-11 07:56:08,752] INFO in alerts: Prices has successfully fetched from external API
[2025-08-11 07:56:08,755] ERROR in alerts: MSFT current price not founded!
[2025-08-11 07:56:08,756] ERROR in alerts: AAPL current price not founded!
[2025-08-11 07:56:08,759] INFO in alerts: Evaluation completed
[2025-08-11 07:58:00,042] INFO in alerts: Start scheduled alert evaluation...
[2025-08-11 07:58:05,629] INFO in alerts: Prices has successfully fetched from external API
[2025-08-11 07:58:05,632] WARNING in alerts: threshold alert conditions not satisfied yet for {MSFT:1}
[2025-08-11 07:58:05,633] WARNING in alerts: duration alert conditions not satisfied yet for {AAPL:2}
[2025-08-11 07:58:05,642] INFO in alerts: Evaluation completed
[2025-08-11 08:00:00,008] INFO in alerts: Start scheduled alert evaluation...
[2025-08-11 08:00:00,565] INFO in alerts: Prices has successfully fetched from external API
[2025-08-11 08:00:00,567] WARNING in alerts: threshold alert conditions not satisfied yet for {MSFT:1}
[2025-08-11 08:00:00,568] WARNING in alerts: duration alert conditions not satisfied yet for {AAPL:2}
[2025-08-11 08:00:00,572] INFO in alerts: Evaluation completed
[2025-08-11 08:02:00,007] INFO in alerts: Start scheduled alert evaluation...
[2025-08-11 08:02:00,699] INFO in alerts: Prices has successfully fetched from external API
[2025-08-11 08:02:00,702] WARNING in alerts: threshold alert conditions not satisfied yet for {MSFT:1}
[2025-08-11 08:02:00,703] WARNING in alerts: duration alert conditions not satisfied yet for {AAPL:2}
[2025-08-11 08:02:00,707] INFO in alerts: Evaluation completed
[2025-08-11 08:04:00,006] INFO in alerts: Start scheduled alert evaluation...
[2025-08-11 08:04:00,567] INFO in alerts: Prices has successfully fetched from external API
[2025-08-11 08:04:00,569] WARNING in alerts: threshold alert conditions not satisfied yet for {MSFT:1}
[2025-08-11 08:04:00,569] WARNING in alerts: duration alert conditions not satisfied yet for {AAPL:2}
[2025-08-11 08:04:00,572] INFO in alerts: Evaluation completed
[2025-08-11 08:15:00,444] INFO in alerts: Start scheduled alert evaluation...
[2025-08-11 08:15:01,075] INFO in alerts: Prices has successfully fetched from external API
[2025-08-11 08:15:01,079] WARNING in alerts: threshold alert conditions not satisfied yet for {MSFT:1}
[2025-08-11 08:15:01,080] WARNING in alerts: duration alert conditions not satisfied yet for {AAPL:2}
[2025-08-11 08:15:01,091] INFO in alerts: Evaluation completed
[2025-08-11 08:15:01,098] INFO in alerts: Start scheduled alert evaluation...
[2025-08-11 08:15:01,662] INFO in alerts: Prices has successfully fetched from external API
[2025-08-11 08:15:01,665] WARNING in alerts: threshold alert conditions not satisfied yet for {MSFT:1}
[2025-08-11 08:15:01,666] WARNING in alerts: duration alert conditions not satisfied yet for {AAPL:2}
[2025-08-11 08:15:01,670] INFO in alerts: Evaluation completed
[2025-08-11 08:15:01,680] INFO in alerts: Start scheduled alert evaluation...
[2025-08-11 08:15:02,318] INFO in alerts: Prices has successfully fetched from external API
[2025-08-11 08:15:02,320] WARNING in alerts: threshold alert conditions not satisfied yet for {MSFT:1}
[2025-08-11 08:15:02,321] WARNING in alerts: duration alert conditions not satisfied yet for {AAPL:2}
[2025-08-11 08:15:02,325] INFO in alerts: Evaluation completed
[2025-08-11 08:15:02,336] INFO in alerts: Start scheduled alert evaluation...
[2025-08-11 08:15:02,902] INFO in alerts: Prices has successfully fetched from external API
[2025-08-11 08:15:02,904] WARNING in alerts: threshold alert conditions not satisfied yet for {MSFT:1}
[2025-08-11 08:15:02,905] WARNING in alerts: duration alert conditions not satisfied yet for {AAPL:2}
[2025-08-11 08:15:02,910] INFO in alerts: Evaluation completed
[2025-08-11 08:15:02,923] INFO in alerts: Start scheduled alert evaluation...
[2025-08-11 08:15:03,460] INFO in alerts: Prices has successfully fetched from external API
[2025-08-11 08:15:03,462] WARNING in alerts: MSFT current price not founded!
[2025-08-11 08:15:03,463] WARNING in alerts: AAPL current price not founded!
[2025-08-11 08:15:03,467] INFO in alerts: Evaluation completed
[2025-08-11 08:27:29,535] INFO in alerts: Start scheduled alert evaluation...
[2025-08-11 08:27:30,220] INFO in alerts: Prices has successfully fetched from external API
[2025-08-11 08:27:30,222] WARNING in alerts: threshold alert conditions not satisfied yet for {MSFT:1}
[2025-08-11 08:27:30,222] WARNING in alerts: duration alert conditions not satisfied yet for {AAPL:2}
[2025-08-11 08:27:30,230] INFO in alerts: Evaluation completed
[2025-08-11 08:28:00,005] INFO in alerts: Start scheduled alert evaluation...
[2025-08-11 08:28:00,592] INFO in alerts: Prices has successfully fetched from external API
[2025-08-11 08:28:00,593] WARNING in alerts: threshold alert conditions not satisfied yet for {MSFT:1}
[2025-08-11 08:28:00,594] WARNING in alerts: duration alert conditions not satisfied yet for {AAPL:2}
[2025-08-11 08:28:00,595] INFO in alerts: Evaluation completed
[2025-08-11 08:33:00,036] INFO in alerts: Start scheduled alert evaluation...
[2025-08-11 08:33:00,442] WARNING in alerts: {MSFT} Price: 522.039978
[2025-08-11 08:33:00,720] WARNING in alerts: {AAPL} Price: 229.35001
[2025-08-11 08:33:00,721] INFO in alerts: Prices has successfully fetched from external API
[2025-08-11 08:33:00,723] WARNING in alerts: threshold alert conditions not satisfied yet for {MSFT:1}
[2025-08-11 08:33:00,723] WARNING in alerts: duration alert conditions not satisfied yet for {AAPL:2}
[2025-08-11 08:33:00,729] INFO in alerts: Evaluation completed
[2025-08-11 08:36:00,008] INFO in alerts: Start scheduled alert evaluation...
[2025-08-11 08:36:00,322] WARNING in alerts: {MSFT} Price: 522.039978
[2025-08-11 08:36:00,602] WARNING in alerts: {AAPL} Price: 229.35001
[2025-08-11 08:36:00,602] INFO in alerts: Prices has successfully fetched from external API
[2025-08-11 08:36:00,605] WARNING in alerts: threshold alert conditions not satisfied yet for {MSFT:1}
[2025-08-11 08:36:00,605] WARNING in alerts: duration alert conditions not satisfied yet for {AAPL:2}
[2025-08-11 08:36:00,609] INFO in alerts: Evaluation completed
[2025-08-11 08:49:40,645] INFO in alerts: Start scheduled alert evaluation...
